id_educacion;matricula_ed_primaria;matricula_ed_terciaria
NULL;104;9.7
NULL;107;55
NULL;104;70.2
NULL;99.8;68
NULL;109.9;51.4
NULL;109.7;90
NULL;92.7;54.6
NULL;100.3;113.1
NULL;103.1;85.1
NULL;116.5;20.6
NULL;99.4;50.5
NULL;103.9;79.7
NULL;122;12.3
NULL;112.3;18.8
NULL;98.2;0
NULL;0;23.3
NULL;103.2;24.9
NULL;115.4;51.3
NULL;89.3;71
NULL;96.1;6.5
NULL;107.4;13.7
NULL;103.4;12.8
NULL;100.9;68.9
NULL;86.8;3.3
NULL;101.4;88.5
NULL;100.2;50.6
NULL;99.3;75.9
NULL;114.5;55.3
NULL;99.5;9
NULL;98.1;94.3
NULL;99.8;9.3
NULL;113.3;55.2
NULL;96.5;67.9
NULL;101.3;80.6
NULL;103.3;44.9
NULL;106.3;35.2
NULL;94.8;29.4
NULL;108.4;36.8
NULL;98.7;46.6
NULL;100.4;78.6
NULL;102.7;88.9
NULL;101.8;88.2
NULL;97.2;69.6
NULL;101;8.1
NULL;107.5;35.5
NULL;100.2;88.2
NULL;102.5;65.6
NULL;139.9;8.3
NULL;98;2.7
NULL;98.6;63.9
NULL;104.8;15.7
NULL;99.6;136.6
NULL;101.9;21.8
NULL;91.5;26.2
NULL;100.8;48.5
NULL;113;28.1
NULL;106.4;36.3
NULL;108.7;16.2
NULL;110.7;68.1
NULL;100.4;71.8
NULL;104.9;63.4
NULL;101.9;61.9
NULL;91;27.1
NULL;98.8;63.2
NULL;81.5;34.4
NULL;104.4;61.7
NULL;103.2;11.5
NULL;107.6;41.3
NULL;102.4;15
NULL;99.4;88.1
NULL;95.1;26.3
NULL;85.1;11.9
NULL;103.9;72.4
NULL;102.3;19.2
NULL;0;0
NULL;142.5;5.4
NULL;105.3;45.1
NULL;142.5;0.8
NULL;75.6;4.5
NULL;105;54.3
NULL;113.9;35.9
NULL;101.1;40.6
NULL;99.9;5
NULL;105.8;40.2
NULL;90.6;39.8
NULL;104;65.6
NULL;100;56.1
NULL;112.6;7.3
NULL;124.2;22.9
NULL;142.1;12.4
NULL;120.6;17.4
NULL;74.7;4.4
NULL;84.7;10.2
NULL;100.3;82
NULL;100;82
NULL;104.2;85
NULL;94.3;9
NULL;0;0
NULL;94.4;47.8
NULL;104.4;34.6
NULL;106.9;70.7
NULL;100;67.8
NULL;106.2;63.9
NULL;101.2;60
NULL;100.7;64.1
NULL;106.6;12.7
NULL;108;6.6
NULL;105.7;59.9
NULL;85.2;49.4
NULL;102.6;81.9
NULL;81;12.8
NULL;100.3;67.2
NULL;112.8;2
NULL;100.6;84.8
NULL;100.2;19.6
NULL;100.9;22.4
NULL;126.6;67
NULL;105.2;59.6
NULL;99.8;49.3
NULL;94.2;4
NULL;100.9;31.3
NULL;123.8;14.5
NULL;115.4;31.7
NULL;93.2;23.9
NULL;99;82.7
NULL;102.7;4.8
NULL;108.5;63.1
NULL;104.2;10.1
NULL;97.2;79.3
NULL;110.6;28.5
NULL;98.7;4.1
NULL;109.9;10
