id_pais;pais;capital;sigla;id_continente;id_puntaje;id_idioma;id_gobierno;id_moneda;id_region;id_poblacion;id_educacion;id_trabajo;id_ipc;id_pbi;id_sociedad
NULL;AFGANISTAN;KABUL;AFG;3;1;20;10;1;1;1;1;1;1;1;1
NULL;ALBANIA;TIRANA;ALB;4;2;1;12;87;2;2;2;2;2;2;2
NULL;ALEMANIA;BERLIN;DEU;4;3;2;12;57;3;3;3;3;3;3;3
NULL;ARABIA SAUDITA;RIAD;SAU;3;4;5;4;125;4;4;4;4;4;4;4
NULL;ARGELIA;ARGELIA;DZA;1;5;5;14;23;4;5;5;5;5;5;5
NULL;ARGENTINA;BUENOS AIRES;ARG;2;6;25;13;111;5;6;6;6;6;6;6
NULL;ARMENIA;EREVAN;ARM;3;7;9;12;55;6;7;7;7;7;7;7
NULL;AUSTRALIA;CANBERRA;AUS;5;8;45;5;37;7;8;8;8;8;8;8
NULL;AUSTRIA;VIENA;AUT;4;9;2;12;9;3;9;9;9;9;9;9
NULL;BANGLADES;DACA;BGD;3;10;11;12;43;1;10;10;10;10;10;10
NULL;BAREIN;MANAMA;BHR;3;11;5;5;24;4;11;11;11;11;11;11
NULL;BELGICA;BRUSELAS;BEL;4;12;66;7;57;3;12;12;12;12;12;12
NULL;BENIN;PORTO NOVO;BEN;1;13;31;13;72;8;13;13;13;13;13;13
NULL;BIRMANIA/MYANMAR;NAIPYIDO;MMR;3;14;12;12;85;9;14;14;14;14;14;14
NULL;BOLIVIA;SUCRE;BOL;2;15;25;13;6;5;15;15;15;15;15;15
NULL;BOSNIA Y HERZEGOVINA;SARAJEVO;BIH;4;16;77;12;105;2;16;16;16;16;16;16
NULL;BOTSUANA;GABORONE;BWA;1;17;45;12;119;8;17;17;17;17;17;17
NULL;BRASIL;BRASILIA;BRA;2;18;72;13;122;5;18;18;18;18;18;18
NULL;BULGARIA;SOFIA;BGR;4;19;13;12;92;2;19;19;19;19;19;19
NULL;BURKINA FASO;UAGADUGU;BFA;1;20;31;14;72;8;20;20;20;20;20;20
NULL;CAMBOYA;NOM PEN;KHM;3;21;52;7;127;9;21;21;21;21;21;21
NULL;CAMERUN;YAUNDE;CMR;1;22;33;13;71;8;22;22;22;22;22;22
