id_puntaje;puntaje;margenes_de_error;puntaje_max;puntaje_min;aporte_pbi_per_capita;aporte_apoyo_social;aporte_exp_vida_buena_salud;aporte_libertad_en_decisiones;aporte_generosidad;aporte_percepcion_corrupcion;dystopia_sumado_a_valor_residual
NULL;1859;33;1923;1795;645;0;87;0;93;59;976
NULL;5277;66;5406;5148;1449;951;48;549;133;37;1678
NULL;6892;49;6989;6795;1919;1401;539;618;153;365;1898
NULL;6463;61;6581;6344;1861;137;351;682;93;17;1936
NULL;5329;62;5451;5207;1353;1298;409;252;73;152;1791
NULL;6024;63;6147;59;159;1388;427;587;88;82;1861
NULL;5342;66;547;5213;1466;1134;443;551;53;16;1534
NULL;7095;44;718;7009;1899;1497;532;677;242;31;1938
NULL;7097;4;7176;7018;1927;1382;535;63;191;31;2124
NULL;4282;68;4416;4148;1133;513;355;617;139;165;1361
NULL;6173;1;6369;5977;1883;1269;389;748;199;138;1546
NULL;6859;34;6926;6793;1907;1449;528;59;137;273;1976
NULL;4374;66;4504;4244;924;242;124;481;114;253;2235
NULL;4372;82;4533;4212;1032;1125;269;46;4;194;893
NULL;5684;57;5797;5572;124;1187;329;648;103;6;2118
NULL;5633;73;5775;549;1467;1361;429;485;247;8;1635
NULL;3435;136;3702;3168;1471;1041;87;48;21;71;264
NULL;6125;65;6252;5997;1454;125;387;558;131;137;2205
NULL;5466;59;5582;535;1635;1457;408;557;106;13;1289
NULL;4638;93;4819;4456;768;814;107;419;188;113;223
NULL;4393;59;4508;4279;1025;1024;283;768;176;51;1068
NULL;4973;71;5112;4834;965;871;118;405;144;59;2411
NULL;6961;42;7042;6879;1881;1484;541;656;218;364;1815
NULL;4397;121;4633;416;622;962;43;393;255;88;2034
NULL;6334;46;6424;6243;1645;1384;511;546;131;76;204
NULL;5818;44;5905;5731;151;1249;468;666;115;145;1666
NULL;613;54;6236;6024;1824;1224;58;455;104;5;1893
NULL;563;6;5747;5514;1455;1213;486;562;8;68;1765
NULL;3545;117;3774;3317;914;327;215;117;129;145;1699
NULL;5951;45;604;5862;1853;1188;603;446;112;163;1587
NULL;5053;74;5198;4907;1094;584;12;467;138;131;2519
NULL;6609;52;671;6507;1587;134;503;683;99;116;2281
NULL;6125;57;6237;6013;1727;1455;475;5;87;3;188
NULL;7586;41;7667;7506;1949;1548;537;734;208;525;2084
NULL;5559;63;5682;5436;1343;1173;476;56;79;69;186
NULL;417;59;4287;4054;1377;972;326;467;38;25;74
NULL;6122;69;6257;5986;1278;1044;383;713;79;222;2403
NULL;6571;43;6656;6486;2015;1223;401;745;188;247;1752
NULL;6469;56;6578;636;1731;1544;472;494;128;22;2078
