id_sociedad;apoyo_social;libertad_en_decisiones;generosidad;percepcion_corrupcion
NULL;341;382;-81;847
NULL;718;794;-7;878
NULL;896;846;3;42
NULL;884;894;-81;691
NULL;855;571;-117;717
NULL;891;823;-89;814
NULL;79;796;-155;705
NULL;934;89;198;496
NULL;888;855;102;497
NULL;544;845;5;698
NULL;844;944;117;737
NULL;915;825;1;549
NULL;437;743;-43;576
NULL;787;727;491;658
NULL;811;868;-63;846
NULL;88;746;206;918
NULL;753;742;-215;83
NULL;836;801;-9;738
NULL;918;801;-57;911
NULL;663;696;95;771
NULL;747;958;73;857
NULL;686;686;15;846
NULL;929;874;153;42
NULL;722;677;221;807
NULL;889;792;-11;823
NULL;836;882;-41;727
NULL;826;724;-6;86
NULL;822;804;-104;834
NULL;471;47;-14;727
NULL;812;717;-46;701
NULL;572;733;3;746
NULL;872;895;-7;768
NULL;917;757;-93;925
NULL;954;934;134;196
NULL;806;802;-108;833
NULL;726;732;-183;58
NULL;755;918;-108;62
NULL;826;942;96;584
NULL;953;753;-16;898
NULL;951;913;14;771
NULL;932;782;-66;711
NULL;919;8;137;689
NULL;946;929;32;409
NULL;782;72;273;789
NULL;78;919;-6;732
NULL;969;961;-19;182
NULL;909;819;-1;553
NULL;746;642;-187;786
NULL;584;596;364;883
NULL;716;786;-254;649
NULL;641;777;139;881
NULL;835;568;-24;793
NULL;812;856;-57;837
NULL;766;843;97;843
NULL;943;758;-59;839
NULL;608;897;72;774
NULL;804;88;531;876
NULL;718;646;-5;876
NULL;778;593;173;747
NULL;983;936;211;668
NULL;943;809;-23;708
NULL;882;711;-74;842
NULL;867;822;-106;875
NULL;894;799;-237;64
NULL;729;77;-15;687
NULL;931;853;0;721
NULL;69;696;288;852
NULL;911;934;181;904
NULL;679;919;91;703
NULL;937;818;-56;83
NULL;53;474;-141;891
NULL;596;735;154;83
NULL;939;748;-145;805
NULL;879;915;24;345
NULL;805;769;131;902
NULL;65;522;75;742
NULL;799;877;16;758
NULL;531;75;5;749
NULL;593;713;-28;846
NULL;923;886;119;729
NULL;553;787;-231;811
NULL;888;813;-28;775
NULL;644;622;-13;657
NULL;804;856;-94;768
NULL;857;84;-8;901
NULL;933;701;19;849
NULL;89;805;63;844
NULL;692;851;47;66
NULL;787;669;-126;83
NULL;748;808;146;783
NULL;853;877;21;625
NULL;59;788;32;734
NULL;74;718;73;911
NULL;943;947;141;283
NULL;952;887;175;271
NULL;93;887;213;379
NULL;601;766;8;787
NULL;859;694;-132;836
NULL;896;855;-133;878
NULL;906;891;21;843
NULL;798;794;-119;892
NULL;925;765;-31;736
NULL;878;902;-196;878
NULL;882;852;253;454
NULL;953;903;4;859
NULL;605;73;-4;739
NULL;652;664;86;834
NULL;827;85;-99;657
NULL;848;856;-172;929
NULL;889;719;-3;801
NULL;629;772;11;846
NULL;873;845;204;816
NULL;555;66;105;858
NULL;878;878;63;146
NULL;826;787;-3;808
NULL;907;73;-87;902
NULL;939;948;165;202
NULL;92;891;27;266
NULL;874;85;289;91
NULL;653;838;182;554
NULL;836;832;-6;522
NULL;595;657;24;74
NULL;73;576;-213;907
NULL;796;475;-77;795
NULL;878;795;24;907
NULL;794;701;114;857
NULL;913;895;-65;575
NULL;875;938;23;638
NULL;839;659;128;811
NULL;821;939;-4;759
NULL;694;791;98;818
NULL;69;654;-46;766
