id_ipc;ipc;ipc_variacion_porcentaje
NULL;149.9;2.3
NULL;119.05;1.4
NULL;112.85;1.4
NULL;118.4;-1.2
NULL;151.36;2
NULL;232.75;53.5
NULL;129.18;1.4
NULL;119.8;1.6
NULL;118.06;1.5
NULL;179.68;5.6
NULL;117.59;2.1
NULL;117.11;1.4
NULL;110.71;-0.9
NULL;168.18;8.8
NULL;148.32;1.8
NULL;104.9;0.6
NULL;149.75;2.8
NULL;167.4;3.7
NULL;114.42;3.1
NULL;106.58;-3.2
NULL;127.63;2.5
NULL;118.65;2.5
NULL;116.76;1.9
NULL;117.7;-1
NULL;131.91;2.6
NULL;125.08;2.9
NULL;102.51;0.3
NULL;140.95;3.5
NULL;103.62;-4.3
NULL;115.16;0.4
NULL;111.61;-0.9
NULL;128.85;2.1
NULL;109.82;0.8
NULL;110.35;0.8
NULL;124.14;0.3
NULL;288.57;9.2
NULL;111.23;0.1
NULL;114.52;-1.9
NULL;115.34;2.7
NULL;111.05;1.6
NULL;110.96;0.7
NULL;117.24;7.5
NULL;122.14;2.3
NULL;143.86;15.8
NULL;129.61;2.5
NULL;112.33;1
NULL;110.05;1.1
NULL;122.19;2.1
NULL;172.73;7.1
NULL;133.61;4.9
NULL;268.36;7.2
NULL;101.87;0.2
NULL;142.92;3.7
NULL;150.34;4.4
NULL;121.64;3.3
NULL;180.44;7.7
NULL;151.18;3
NULL;119.86;0.4
NULL;550.93;39.9
NULL;129;3
NULL;108.15;0.8
NULL;110.62;0.6
NULL;162.47;3.9
NULL;105.48;0.5
NULL;125.6;0.8
NULL;182.75;5.2
NULL;180.51;4.7
NULL;155.68;1.1
NULL;135.87;3.3
NULL;116.86;2.8
NULL;130.02;3
NULL;223.13;23.6
NULL;118.38;2.3
NULL;115.09;1.7
NULL;0;0
NULL;184.33;5.6
NULL;121.46;0.7
NULL;418.34;9.4
NULL;108.73;-1.7
NULL;113.45;1.6
NULL;111.07;0.2
NULL;129.91;0.4
NULL;135.02;2.3
NULL;141.54;3.6
NULL;166.2;4.8
NULL;195.76;7.3
NULL;116.32;2.6
NULL;182.31;2.8
NULL;157.97;3.7
NULL;188.73;5.6
NULL;162.74;5.4
NULL;109.32;-2.5
NULL;267.51;11.4
NULL;120.27;2.2
NULL;114.24;1.6
NULL;115.91;2.6
NULL;182.32;10.6
NULL;0;0
NULL;122.07;-0.4
NULL;143.82;2.8
NULL;129.78;2.1
NULL;114.11;2.2
NULL;110.62;0.3
NULL;119.62;1.7
NULL;116.48;2.8
NULL;124.74;2.2
NULL;133.85;2.9
NULL;135.5;1.8
NULL;123.78;3.8
NULL;180.75;4.5
NULL;109.25;1.8
NULL;144;1.8
NULL;234.16;14.8
NULL;114.41;0.6
NULL;155.53;3.5
NULL;158.93;4.1
NULL;110.51;1.8
NULL;99.55;0.4
NULL;113.27;0.7
NULL;187.43;3.5
NULL;148.57;6
NULL;113.3;0.7
NULL;155.33;6.7
NULL;234.44;15.2
NULL;281.66;7.9
NULL;173.87;2.9
NULL;202.92;7.9
NULL;0;0
NULL;2740.27;254.9
NULL;163.52;2.8
NULL;212.31;9.2
NULL;105.51;0.9
